,Provider,age_mode,age_median,deceased_sum,Gender_mode,Race_mode,State_mode,County_mode,No_days_admitted_median,No_days_admitted_mode,No_days_ClaimProcessing_median,No_days_ClaimProcessing_mode,AttendingPhysician_mode,RenalDiseaseIndicator_mode,ChronicCond_Alzheimer_median,ChronicCond_Alzheimer_mode,ChronicCond_Cancer_median,ChronicCond_Cancer_mode,ChronicCond_Depression_median,ChronicCond_Depression_mode,ChronicCond_Diabetes_median,ChronicCond_Diabetes_mode,ChronicCond_Heartfailure_median,ChronicCond_Heartfailure_mode,ChronicCond_IschemicHeart_median,ChronicCond_IschemicHeart_mode,ChronicCond_KidneyDisease_median,ChronicCond_KidneyDisease_mode,ChronicCond_ObstrPulmonary_median,ChronicCond_ObstrPulmonary_mode,ChronicCond_Osteoporasis_median,ChronicCond_Osteoporasis_mode,ChronicCond_rheumatoidarthritis_median,ChronicCond_rheumatoidarthritis_mode,ChronicCond_stroke_median,ChronicCond_stroke_mode,NoOfMonths_PartACov_median,NoOfMonths_PartACov_mode,NoOfMonths_PartBCov_median,NoOfMonths_PartBCov_mode,InscClaimAmtReimbursed_sum,InscClaimAmtReimbursed_median,OPAnnualDeductibleAmt_sum,OPAnnualDeductibleAmt_median,OPAnnualReimbursementAmt_sum,OPAnnualReimbursementAmt_median,IPAnnualDeductibleAmt_sum,IPAnnualDeductibleAmt_median,IPAnnualReimbursementAmt_sum,IPAnnualReimbursementAmt_median,DeductibleAmtPaid_sum,DeductibleAmtPaid_median,OperatingPhysician_mode,OtherPhysician_mode,no_of_service_provided,PotentialFraud
0,PRV55912,67.0,75.0,105,0,1,39,510,2.0,1.0,3.0,0.0,PHY414999,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,750080,4000,59690,300,249270,900,148908,1068,1420920,8600,64110.0,1068.0,['PHY370861'],['PHY387346'],107,Yes
1,PRV55907,81.0,75.0,242,0,1,39,770,1.0,1.0,0.0,0.0,PHY331860,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,598180,100,171700,420,608230,1210,204920,1068,1946470,3000,64490.0,0.0,['PHY375412'],"['PHY347835', 'PHY348866']",243,No
2,PRV56046,69.0,70.0,20,0,1,39,230,3.0,1.0,3.0,0.0,PHY324689,0,1.0,1,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,1.5,1,2.0,2,2.0,2,12,12,12.0,12,121680,5000,4730,185,24050,700,33632,1068,366840,7520,14952.0,1068.0,['PHY372395'],['PHY324689'],20,No
3,PRV52405,71.0,71.0,88,0,1,1,340,1.0,1.0,0.0,0.0,PHY369659,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,189070,100,88310,330,251730,970,65148,0,656110,0,23606.0,0.0,['PHY325656'],['PHY369659'],89,No
4,PRV56614,72.0,72.0,26,0,1,45,780,1.5,1.0,2.0,0.0,PHY338104,0,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,12,12,12.0,12,126100,2500,28700,400,103960,970,33108,1068,311840,5500,13884.0,1068.0,['PHY398258'],['PHY338104'],26,No
5,PRV54986,68.0,73.0,613,0,1,33,420,1.0,1.0,0.0,0.0,PHY379358,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,1693410,100,458051,350,1646750,1140,525028,0,4868520,0,158536.0,0.0,['PHY402711'],['PHY379358'],618,Yes
6,PRV54090,67.0,74.0,189,0,1,24,810,1.0,1.0,0.0,0.0,PHY403650,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,320740,90,117490,330,422220,1195,124152,0,1421290,0,34776.0,0.0,['PHY338043'],['PHY362096'],190,No
7,PRV51148,77.0,75.0,330,0,1,5,660,1.0,1.0,0.0,0.0,PHY364468,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,488660,90,248200,340,843930,1190,170688,0,1621790,0,36294.0,0.0,"['PHY364468', 'PHY419984']",['PHY364468'],330,Yes
8,PRV55839,69.0,74.0,183,0,1,38,20,1.0,1.0,0.0,0.0,PHY383223,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,76630,80,143020,300,463410,920,103172,0,824650,0,3464.0,0.0,['PHY343263'],['PHY343263'],186,No
9,PRV55215,73.0,73.0,3362,0,1,34,10,1.0,1.0,0.0,0.0,PHY336787,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,2284560,80,2152865,360,7817330,1220,1860508,0,16221450,0,159326.0,0.0,['PHY336787'],"['PHY336787', 'PHY361861']",3393,Yes
10,PRV55193,78.0,73.5,44,1,1,34,770,3.0,1.0,3.5,0.0,PHY397979,0,1.0,1,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,444380,5500,21130,380,65660,1010,98536,1068,675760,9000,33108.0,1068.0,['PHY418257'],['PHY375521'],44,Yes
11,PRV51145,73.0,73.0,201,0,1,3,90,3.0,1.0,3.0,0.0,PHY329774,0,1.0,1,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,1606350,6000,84840,160,272860,720,315072,1068,3261530,9025,166748.0,1068.0,['PHY354983'],"['PHY331858', 'PHY343373', 'PHY354983', 'PHY355350', 'PHY356200', 'PHY357794', 'PHY361345', 'PHY361976', 'PHY364608', 'PHY373803', 'PHY376654', 'PHY380756', 'PHY384082', 'PHY388473', 'PHY404915', 'PHY426044', 'PHY433592']",202,Yes
12,PRV55846,82.0,75.0,127,0,1,50,160,1.0,1.0,0.0,0.0,PHY401777,0,2.0,2,2.0,2,2.0,2,1.0,1,1.0,1,1.0,1,1.0,1,2.0,2,2.0,2,2.0,2,2.0,2,12,12,12.0,12,511670,300,81670,310,289660,1200,123888,1068,1229930,3000,49218.0,0.0,['PHY382623'],['PHY332456'],127,No
